№,Идентификатор,Тип ,Название,Район
718,6549,пруд,б/н,Красногвардейский
719,6555,пруд,б/н,Приморский
720,6556,пруд,б/н,Петроградский
721,6562,пруд,Лопухинский,Петроградский
722,6563,пруд,б/н,Петроградский
723,6564,пруд,б/н,Петроградский
724,6565,пруд,б/н,Петроградский
725,6624,пруд,б/н,Адмиралтейский
726,6639,пруд,б/н,Петродворцовый
727,6641,пруд,б/н,Петродворцовый
728,6653,пруд,б/н,Фрунзенский
729,6659,пруд,б/н,Кировский
730,6666,пруд,б/н,Красносельский
731,6676,пруд,б/н,Красносельский
732,6681,пруд,б/н,Петродворцовый
733,6684,пруд,б/н,Красносельский
734,6708,пруд,б/н,Петродворцовый
735,6842,пруд,б/н,Кировский
736,6892,пруд,б/н,Колпинский
737,6945,пруд,б/н,Красносельский
738,6966,пруд,б/н,Красносельский
739,6967,пруд,б/н,Красносельский
740,6973,пруд,б/н,Красносельский
741,6979,пруд,б/н,Колпинский
742,7010,пруд,б/н,Пушкинский
743,7040,пруд,б/н,Пушкинский
744,7049,пруд,пруды Фермерского парка,Пушкинский
745,7069,пруд,б/н,Красносельский
746,7082,пруд,б/н,Красносельский
747,7083,пруд,б/н,Красносельский
748,7164,пруд,б/н,Пушкинский
749,7199,пруд,Кронверкский канал,Кронштадтский
750,2740,пруд,Фигурный,Петродворцовый
